文件	处理决定	落地或说明
docs/publishing/connecting-integrations.md	无需更新	与现有页面重叠或本轮优先级较低
docs/publishing/debugging.md	无需更新	与现有页面重叠或本轮优先级较低
docs/publishing/packing-to-publish.md	无需更新	与现有页面重叠或本轮优先级较低
docs/publishing/uploading-and-community.md	无需更新	与现有页面重叠或本轮优先级较低
docs/readme.md	新增	docs/docs/client/index.md；docs/guides/clients/innercore/index.md
docs/storage/containers.md	无需更新	与现有页面重叠或本轮优先级较低
docs/storage/principles-and-objectives.md	无需更新	与现有页面重叠或本轮优先级较低
docs/storage/processing-resources.md	无需更新	与现有页面重叠或本轮优先级较低
docs/storage/saving-basics.md	修改	docs/guides/clients/innercore/events-storage-and-multiplayer.md
docs/storage/tile-entities.md	无需更新	与现有页面重叠或本轮优先级较低
docs/structures/index.md	无需更新	与现有页面重叠或本轮优先级较低
docs/structures/patching-instructions.md	无需更新	正文不足或占位，暂不落地
docs/ui/advanced/animating-elements.md	无需更新	与现有页面重叠或本轮优先级较低
docs/ui/advanced/extending-components.md	无需更新	与现有页面重叠或本轮优先级较低
docs/ui/drawings.md	无需更新	与现有页面重叠或本轮优先级较低
docs/ui/elements.md	无需更新	与现有页面重叠或本轮优先级较低
docs/ui/investigating-contents.md	无需更新	与现有页面重叠或本轮优先级较低
docs/ui/window-types.md	修改	docs/guides/clients/innercore/ui-environment-and-libraries.md
i18n/ru/docusaurus-plugin-content-docs-archive/current/readme.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/BowLib.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/ClassicUI.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/Component/adaptive.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/Component/components.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/Component/fragments.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/Component/readme.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/Component/stylization.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/Component/windows.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/CoreUtility.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/DungeonUtility/item-generation.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/DungeonUtility/readme.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/DungeonUtility/structure-formats.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/DungeonUtility/structure-loader.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/DungeonUtility/structure-piece.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/Fireflies/readme.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/Fireflies/runtime-data.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/FtbQuests.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/InfiniteDepth.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/Inventory.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/KernelExtension/blocks-and-items-in-java.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/KernelExtension/custom-block-entities.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/KernelExtension/json-models.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/KernelExtension/kex-config.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/KernelExtension/readme.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/readme.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/Timer.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/Translate.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/TreeCapitator.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs-libraries/current/VeinMiner.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/advanced/debugging-abilities.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/advanced/named-binary-tag.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/advanced/shaders-and-materials.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/advanced/wrapping-packages.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/basics/building-script.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/basics/evaluate-context.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/basics/integrating-libraries.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/basics/mod-lifecycle.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/basics/mod-structure.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/blocks/block-entities.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/blocks/first-block.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/blocks/first-liquid.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/blocks/renders/block-renderer.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/blocks/renders/conditioning.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/blocks/renders/customizing-item.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/blocks/renders/vanilla-shapes.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/dimensions/creating-biomes.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/dimensions/first-dimension.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/dimensions/investigating-generators.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/dimensions/ore-with-manual-generation.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/entities/actoring-entities.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/entities/first-entity.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/entities/path-navigation.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/entities/renders/animating-in-runtime.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/entities/renders/attaching-renders.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/entities/renders/rendering-basics.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/environment/animation.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/environment/game-objects.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/environment/modifying-region.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/environment/particles.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/events/callbacks.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/events/threading.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/events/updatables.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/events/using-synced-data.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/events/where-what-and-who.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/future-steps.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/getting-started/developers-everywhere.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/getting-started/going-forward.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/getting-started/installing-pack.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/getting-started/methodology.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/getting-started/supporting-ides.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/intro.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/items/extra/enchanting.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/items/extra/what-is-extra.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/items/first-item.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/items/food-armor-and-throwables.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/items/recipes.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/items/tools.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/multiplayer/client-packets.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/multiplayer/network-entity-type.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/multiplayer/server-packets.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/multiplayer/start.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/publishing/connecting-integrations.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/publishing/debugging.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/publishing/packing-to-publish.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/publishing/uploading-and-community.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/readme.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/storage/containers.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/storage/principles-and-objectives.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/storage/processing-resources.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/storage/saving-basics.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/storage/tile-entities.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/structures/patching-instructions.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/ui/advanced/animating-elements.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/ui/advanced/extending-components.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/ui/drawings.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/ui/elements.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/ui/investigating-contents.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-docs/current/ui/window-types.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-pages/changelog-legacy.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-pages/changelog.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-pages/faq/index.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
i18n/ru/docusaurus-plugin-content-pages/template.md	无需更新	俄文镜像资料，当前轮次不进入中文落地
libraries/BackpackAPI.md	无需更新	库文档待后续专题翻译
libraries/BetterFoliage.md	无需更新	库文档待后续专题翻译
libraries/BowLib.md	无需更新	库文档待后续专题翻译
libraries/ClassicUI.md	无需更新	库文档待后续专题翻译
libraries/Component/adaptive.md	无需更新	库文档待后续专题翻译
libraries/Component/components.md	无需更新	库文档待后续专题翻译
libraries/Component/fragments.md	无需更新	库文档待后续专题翻译
libraries/Component/practice.md	无需更新	库文档待后续专题翻译
libraries/Component/readme.md	无需更新	库文档待后续专题翻译
libraries/Component/stylization.md	无需更新	库文档待后续专题翻译
libraries/Component/windows.md	无需更新	库文档待后续专题翻译
libraries/CoreUtility.md	无需更新	库文档待后续专题翻译
libraries/DungeonUtility/item-generation.md	无需更新	库文档待后续专题翻译
libraries/DungeonUtility/readme.md	无需更新	库文档待后续专题翻译
libraries/DungeonUtility/structure-formats.md	无需更新	库文档待后续专题翻译
libraries/DungeonUtility/structure-loader.md	无需更新	库文档待后续专题翻译
libraries/DungeonUtility/structure-piece.md	无需更新	库文档待后续专题翻译
libraries/Fireflies/readme.md	无需更新	库文档待后续专题翻译
libraries/Fireflies/runtime-data.md	无需更新	库文档待后续专题翻译
libraries/FtbQuests.md	无需更新	库文档待后续专题翻译
libraries/InfiniteDepth.md	无需更新	库文档待后续专题翻译
libraries/Inventory.md	无需更新	库文档待后续专题翻译
libraries/KernelExtension/blocks-and-items-in-java.md	无需更新	库文档待后续专题翻译
libraries/KernelExtension/custom-block-entities.md	无需更新	库文档待后续专题翻译
libraries/KernelExtension/json-models.md	无需更新	库文档待后续专题翻译
libraries/KernelExtension/kex-config.md	无需更新	库文档待后续专题翻译
libraries/KernelExtension/readme.md	无需更新	库文档待后续专题翻译
libraries/readme.md	无需更新	库文档待后续专题翻译
libraries/RecipeViewer.md	无需更新	库文档待后续专题翻译
libraries/Timer.md	无需更新	库文档待后续专题翻译
libraries/Translate.md	无需更新	库文档待后续专题翻译
libraries/TreeCapitator.md	无需更新	库文档待后续专题翻译
libraries/VeinMiner.md	无需更新	库文档待后续专题翻译
README.md	无需更新	正文不足或占位，暂不落地
src/pages/changelog-legacy.md	无需更新	站点页面说明，不属于InnerCore技术正文
src/pages/changelog.md	无需更新	站点页面说明，不属于InnerCore技术正文
src/pages/faq/index.md	无需更新	站点页面说明，不属于InnerCore技术正文
src/pages/template.md	无需更新	站点页面说明，不属于InnerCore技术正文
TODO.md	无需更新	与现有页面重叠或本轮优先级较低
